lng,lat,name,strasse,hausnr,plz,ort,anlage,kategorie,zugaenglichkeit,beschreibung,website
8.69222440769125,47.3691747592913,Schulhäuser Nänikon,Baumgartenweg,6,8606,Nänikon,Schulanlage Singvogel,Schule: Primarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/de/bildung/primarschule/primarschulhaus/?action=showschule&schule_id=505
8.69317912111505,47.368783782418,Klairs - Näniker Vereinslokal,Bühlstrasse,16,8606,Nänikon,,Freizeitanlage: Gemeinschaftszentrum,Räumlichkeiten,,http://klairs.ch/
8.6915060038085,47.3689163232639,Kindergarten Vogelsang,Bühlweg,10,8606,Nänikon,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=361
8.68467040793654,47.36918319849,Kindergarten Mettmenried,Mettmenriedstrasse,7,8606,Nänikon,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=352
8.68674679546684,47.3714043495579,Waldspielgruppe Wurzeln,Murggenstrasse,32,8606,Nänikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.waldspielgruppe-wurzeln.ch 
8.69727821951098,47.3696382921235,Spielgruppe Chindernäscht,Schwerzistrasse,21,8606,Nänikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.chindernaescht.ch
8.68810454284304,47.3697160069729,Spielgruppe Pumuckl,Stationsstrasse,49,8606,Nänikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.pumuckl-greifensee.net
8.71169700510521,47.3323410575843,Kinderhaus kidin.ch,Schulweg,1,8616,Riedikon,,Kinderbetreuung: nicht-FEB-Kita,Räumlichkeiten,,
8.71268499487724,47.3314561105182,Naturspielgruppe kidin.ch,Turicaphonstrasse,31,8616,Riedikon,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.kidin.ch
8.73087995500858,47.3456180219744,Schulhaus Oberuster,Aathalstrasse,31,8610,Uster,Schulanlage Oberuster,Schule: Primarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.oberuster.ch/
